2019-10-10 14:24:22,998 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | org.eclipse.jetty.server.session.HashSessionManager@4d157787Timer
2019-10-10 16:05:27,437 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:5c2bca3e845d-34379-1570715600054-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-18
2019-10-10 16:05:27,470 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2019-10-10 16:05:27,470 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2019-10-10 16:05:27,530 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-18
2019-10-10 16:05:27,532 | INFO  | Connector openwire-ssl stopped | org.apache.activemq.broker.TransportConnector | Thread-18
2019-10-10 16:05:27,536 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-18
2019-10-10 16:05:27,559 | WARN  | Setup of JMS message listener invoker failed for destination 'incoming' - trying to recover. Cause: java.io.EOFException | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #0 - JmsConsumer[incoming]
2019-10-10 16:05:27,593 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:5c2bca3e845d-34379-1570715600054-0:1) uptime 2 hours 12 minutes | org.apache.activemq.broker.BrokerService | Thread-18
2019-10-10 16:05:27,593 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:5c2bca3e845d-34379-1570715600054-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-18
2019-10-10 16:05:27,608 | ERROR | Could not refresh JMS Connection for destination 'incoming' - retrying using FixedBackOff{interval=5000, currentAttempts=0, maxAttempts=unlimited}. Cause: Could not connect to broker URL: tcp://0.0.0.0:61816. Reason: java.net.ConnectException: Connection refused (Connection refused) | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #0 - JmsConsumer[incoming]
2019-10-10 16:05:27,607 | WARN  | Setup of JMS message listener invoker failed for destination 'outcoming' - trying to recover. Cause: java.io.EOFException | org.apache.camel.component.jms.DefaultJmsMessageListenerContainer | Camel (camel-1) thread #1 - JmsConsumer[outcoming]
2019-10-10 16:05:36,536 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@e25b2fe: startup date [Thu Oct 10 16:05:36 GMT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-10-10 16:05:40,465 | WARN  | Memory Usage for the Broker (1024mb) is more than the maximum available for the JVM: 989 mb - resetting to 70% of maximum available: 692 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 16:05:40,552 | INFO  | Using Persistence Adapter: MemoryPersistenceAdapter | org.apache.activemq.broker.BrokerService | main
2019-10-10 16:05:40,553 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-10-10 16:05:40,782 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2019-10-10 16:05:40,926 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:03cd0b9e2a93-41115-1570723540589-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-10-10 16:05:40,999 | INFO  | Listening for connections at: tcp://03cd0b9e2a93:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 16:05:41,005 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 16:05:41,158 | INFO  | Listening for connections at: ssl://03cd0b9e2a93:61716?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
